[LuST] speed pool: 138896 mẫu, mean=13.09 m/s, median=12.56 m/s
[LuST-24h] speed pool: 442557 mẫu, mean=16.65 m/s, median=13.68 m/s
[LuST] speed pool: 138896 mẫu, mean=13.09 m/s, median=12.56 m/s
[LuST-24h] speed pool: 442557 mẫu, mean=16.65 m/s, median=13.68 m/s

[Classical] seed=2024
  [full] ep 24/50 | reward=-10.057 loss=0 lat=13.149s E=6.966J cost=10.057 avgQ=0.00 t=3.603s
  [full] ep 25/50 | reward=-8.271 loss=0 lat=10.881s E=5.661J cost=8.271 avgQ=0.00 t=3.542s
  [full] ep 26/50 | reward=-8.573 loss=0 lat=11.202s E=5.944J cost=8.573 avgQ=0.00 t=3.675s
  [full] ep 27/50 | reward=-7.465 loss=0 lat=9.874s E=5.056J cost=7.465 avgQ=0.00 t=3.65s
  [full] ep 28/50 | reward=-7.177 loss=0 lat=9.523s E=4.832J cost=7.177 avgQ=0.00 t=3.603s
  [full] ep 29/50 | reward=-6.762 loss=0 lat=9.015s E=4.509J cost=6.762 avgQ=0.00 t=3.618s
  [full] ep 30/50 | reward=-6.135 loss=0 lat=8.221s E=4.048J cost=6.135 avgQ=0.00 t=3.625s
  [full] ep 31/50 | reward=-8.889 loss=0 lat=11.676s E=6.103J cost=8.889 avgQ=0.00 t=3.634s
  [full] ep 32/50 | reward=-6.115 loss=0 lat=8.186s E=4.043J cost=6.115 avgQ=0.00 t=3.578s
  [full] ep 33/50 | reward=-8.315 loss=0 lat=10.950s E=5.680J cost=8.315 avgQ=0.00 t=3.615s
  [full] ep 34/50 | reward=-9.045 loss=0 lat=11.901s E=6.189J cost=9.045 avgQ=0.00 t=3.52s
  [full] ep 35/50 | reward=-7.744 loss=0 lat=10.229s E=5.260J cost=7.744 avgQ=0.00 t=3.597s
  [full] ep 36/50 | reward=-8.249 loss=0 lat=10.866s E=5.632J cost=8.249 avgQ=0.00 t=3.633s
  [full] ep 37/50 | reward=-8.535 loss=0 lat=11.240s E=5.830J cost=8.535 avgQ=0.00 t=3.516s
